aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.02,29.44,0.01,3.33,0.008,0.4,0.16,0.15,0.98,0.91,0.91,0.187,8.96,1.42,0.004,15.45,1.7,0.02,0.08,0.05,0
0.1,19.21,0.05,0.16,0.07,0.56,0.0,1.95,1.16,0.94,0.94,0.047,4.18,1.31,0.008,9.13,1.53,0.03,0.04,0.01,0
0.01,19.07,0.04,1.18,0.009,4.69,0.65,0.73,0.82,0.7,0.7,0.122,2.16,1.55,0.007,40.53,2.87,0.1,0.01,0.04,1
4.11,7.02,0.03,2.27,0.007,4.51,0.75,1.29,0.83,0.16,0.001,0.152,13.29,1.41,0.005,24.73,5.73,0.08,0.49,0.09,1
0.04,6.05,0.01,0.77,0.01,0.52,0.03,1.87,1.14,0.41,0.001,0.033,3.68,0.42,0.001,11.59,0.68,0.08,0.07,0.05,0
0.0,9.82,0.91,2.1,0.12,1.44,0.47,0.09,0.65,0.92,0.92,0.105,3.52,1.92,0.008,1.19,5.7,0.09,0.06,0.07,0
0.01,14.99,0.01,1.48,0.1,0.19,0.09,1.35,1.24,0.12,0.006,0.193,17.29,1.27,0.001,6.74,0.94,0.09,0.09,0.05,0
0.05,29.08,0.56,3.68,0.11,3.49,0.67,0.01,0.48,0.65,0.65,0.125,14.42,2.07,0.0,57.36,6.85,0.06,0.11,0.06,0
1.86,10.48,0.04,3.79,0.001,5.65,0.69,1.59,0.21,0.0,0.0,0.016,4.94,1.48,0.001,39.06,7.51,0.04,0.4,0.01,1
0.06,5.53,0.02,2.53,0.03,0.14,0.07,0.23,0.91,0.75,0.75,0.191,1.56,0.1,0.005,1.93,0.48,0.09,0.0,0.02,0
0.01,0.41,0.05,0.22,0.09,0.07,0.08,0.02,0.16,0.0,0.89,0.052,5.73,0.62,0.003,6.53,1.36,0.03,0.1,0.08,0
0.02,10.78,0.07,0.23,0.03,0.2,0.03,0.63,1.03,0.18,0.004,0.031,9.95,1.82,0.003,9.12,3.08,0.05,0.09,0.08,0
0.01,10.26,0.02,3.51,0.05,0.53,0.39,0.55,1.27,0.61,0.61,0.087,16.94,1.14,0.009,42.15,2.53,0.09,0.37,0.05,0
0.07,3.98,0.56,1.54,0.04,1.87,0.27,0.6,0.07,0.79,0.79,0.164,1.56,1.21,0.01,45.46,3.44,0.06,0.44,0.04,0
0.05,16.88,0.04,0.23,0.008,4.77,0.74,0.15,0.19,0.76,0.76,0.036,3.81,1.21,0.008,55.9,3.65,0.03,0.38,0.08,0
0.1,28.19,0.09,0.19,0.05,0.34,0.06,0.09,0.61,0.0,0.55,0.188,14.75,0.64,0.005,3.24,4.0,0.04,0.01,0.06,0
0.04,19.5,0.04,0.22,0.06,0.13,0.0,0.01,0.83,0.07,0.008,0.018,0.45,0.96,0.009,2.19,0.89,0.03,0.02,0.04,0
0.02,28.28,0.04,0.09,0.08,0.07,0.02,1.73,0.06,0.0,0.003,0.064,16.21,0.02,0.004,0.47,4.84,0.06,0.06,0.01,0
0.05,8.71,0.05,0.79,0.09,0.38,0.1,0.95,0.28,0.0,0.53,0.182,19.42,0.64,0.009,0.32,0.22,0.08,0.02,0.09,0
0.03,12.63,0.04,2.1,0.04,0.1,0.04,1.06,0.1,0.84,0.84,0.139,16.15,1.42,0.001,0.69,0.79,0.08,0.02,0.07,0
0.04,20.56,0.09,3.94,0.05,0.08,0.01,0.72,0.09,0.11,0.003,0.166,17.24,1.1,0.009,0.52,2.63,0.01,0.06,0.09,0
0.02,20.95,0.02,2.52,0.06,0.24,0.09,0.66,0.9,0.0,0.65,0.1,2.21,0.04,0.003,6.15,1.56,0.08,0.01,0.05,0
0.09,3.35,0.04,0.58,0.01,0.18,0.06,0.6,0.07,0.0,0.79,0.164,0.84,0.28,0.01,3.89,0.58,0.06,0.06,0.04,0
0.09,23.35,0.1,0.03,0.08,0.4,0.06,0.02,1.03,0.0,0.009,0.137,10.15,0.19,0.002,2.22,0.33,0.06,0.07,0.02,0
1.17,9.82,0.59,2.62,0.12,3.08,0.66,1.26,1.33,0.0,0.0,0.164,3.12,1.8,0.0,4.98,1.18,0.01,0.42,0.01,0
0.02,22.56,0.05,0.53,0.04,0.07,0.01,1.53,0.87,0.0,0.008,0.079,9.38,0.7,0.007,0.77,5.2,0.06,0.06,0.05,0
0.06,23.53,0.03,0.72,0.07,0.09,0.05,0.86,1.34,0.97,0.97,0.086,1.52,1.11,0.002,1.84,0.78,0.04,0.09,0.01,0
0.01,18.67,0.05,0.47,0.07,0.3,0.06,0.02,0.84,0.0,0.001,0.165,13.2,0.35,0.009,0.29,0.74,0.01,0.06,0.01,0
0.0,19.2,0.06,1.49,0.01,0.37,0.05,0.08,0.8,0.0,0.004,0.124,12.77,0.88,0.01,11.89,0.26,0.01,0.0,0.04,0
0.03,10.46,0.07,0.18,0.04,0.23,0.1,1.69,0.39,0.05,0.004,0.125,3.29,0.91,0.003,2.29,3.16,0.05,0.04,0.02,0
0.0,22.71,0.08,0.09,0.03,0.01,0.06,0.04,0.62,0.0,0.006,0.137,14.86,0.37,0.004,1.3,0.04,0.01,0.02,0.05,0
0.09,7.52,0.07,0.48,0.06,0.17,0.04,0.42,0.07,0.32,0.0,0.015,14.66,1.46,0.004,2.37,4.31,0.03,0.05,0.04,0
0.06,13.42,0.01,0.92,0.09,0.01,0.05,0.99,0.31,0.01,0.007,0.19,11.46,0.59,0.003,5.55,1.43,0.04,0.06,0.04,0
0.01,22.97,0.07,0.93,0.03,0.09,0.09,0.76,0.62,0.65,0.65,0.044,6.94,1.81,0.005,3.4,2.01,0.03,0.07,0.02,0
0.04,1.47,0.87,2.35,0.11,4.83,0.14,0.04,1.39,0.75,0.75,0.001,5.83,1.94,0.009,25.27,6.31,0.09,0.23,0.06,0
0.05,14.35,0.06,0.83,0.04,0.01,0.02,1.98,0.09,1.0,1.0,0.1,15.3,0.55,0.006,0.86,1.46,0.09,0.0,0.08,0
0.08,6.38,0.05,2.54,0.08,0.0,0.05,0.04,0.36,0.0,0.004,0.02,3.21,0.02,0.006,0.01,0.68,0.05,0.02,0.06,0
0.06,11.66,0.07,0.52,0.06,0.0,0.08,0.48,1.36,0.0,0.73,0.164,15.03,0.72,0.008,0.17,0.08,0.06,0.03,0.02,0
4.45,7.48,0.03,0.83,0.004,3.03,0.36,0.55,1.14,0.0,0.0,0.18,15.86,1.83,0.01,48.83,7.79,0.08,0.13,0.01,0
0.04,29.06,0.09,2.33,0.08,0.04,0.04,1.82,0.44,0.14,0.001,0.022,14.61,1.76,0.007,2.12,0.84,0.03,0.1,0.06,0
0.03,14.83,0.29,4.18,0.05,8.0,0.7,0.05,0.65,0.64,0.64,0.12,3.85,2.47,0.002,25.71,3.9,0.05,0.41,0.04,0
0.05,25.32,0.03,1.03,0.005,2.46,0.24,0.31,1.1,0.06,0.005,0.072,3.36,1.74,0.008,4.51,7.32,0.02,0.12,0.09,0
0.29,2.03,0.01,0.83,0.005,6.97,0.88,0.4,1.41,0.0,0.0,0.023,8.8,1.78,0.0,38.55,4.86,0.09,0.37,0.02,1
3.54,4.22,0.05,0.63,0.006,4.43,0.5,1.58,0.13,0.97,0.97,0.17,11.6,1.07,0.006,9.82,0.83,0.06,0.23,0.08,1
0.08,9.17,0.05,1.46,0.008,0.14,0.44,1.43,1.35,0.27,0.004,0.026,7.13,1.97,0.009,9.71,6.8,0.07,0.34,0.06,0
4.95,2.83,0.01,0.2,0.001,4.07,0.56,0.75,1.26,0.87,0.87,0.097,0.43,1.29,0.006,26.15,1.01,0.07,0.16,0.08,1
0.03,25.11,0.79,2.79,0.06,1.3,0.52,0.0,0.59,0.61,0.61,0.001,19.15,1.52,0.01,51.42,0.05,0.03,0.05,0.02,1
0.15,19.19,0.02,1.35,0.001,3.02,0.87,1.48,0.45,0.59,0.59,0.053,4.21,1.73,0.005,15.84,7.63,0.08,0.49,0.04,0
4.61,26.12,0.91,3.3,0.12,7.01,0.63,1.65,0.5,0.0,0.006,0.18,4.47,1.59,0.001,56.09,4.28,0.08,0.03,0.07,0
0.09,7.16,0.34,0.51,0.11,6.27,0.49,0.1,0.86,0.4,0.003,0.007,15.05,2.71,0.001,2.8,6.28,0.05,0.1,0.05,0
0.0,14.25,0.02,1.53,0.003,7.34,0.5,0.18,0.16,0.51,0.51,0.173,7.23,1.57,0.006,59.19,5.21,0.08,0.28,0.07,0
0.04,13.43,0.07,0.96,0.03,0.17,0.03,0.05,0.1,0.42,0.0,0.165,10.82,1.59,0.006,2.28,1.44,0.07,0.02,0.09,0
0.03,28.57,0.02,2.73,0.004,2.94,0.16,1.43,0.19,0.92,0.92,0.097,10.55,1.2,0.001,52.24,5.03,0.07,0.28,0.01,0
0.08,5.88,0.04,0.16,0.09,0.05,0.09,0.06,0.36,0.0,0.004,0.02,3.41,0.44,0.006,4.16,0.66,0.05,0.02,0.06,0
0.14,21.45,0.04,3.82,0.008,1.58,0.86,1.29,0.13,0.43,0.008,0.169,9.33,1.86,0.006,38.15,6.23,0.08,0.25,0.01,0
0.05,1.13,0.09,2.65,0.0,0.09,0.05,1.13,1.05,0.97,0.97,0.007,6.35,0.35,0.006,7.28,2.84,0.01,0.03,0.08,0
0.02,0.58,0.11,1.51,0.05,2.51,0.28,0.0,0.28,0.7,0.7,0.096,19.03,1.86,0.007,12.42,4.03,0.03,0.37,0.08,0
0.08,0.22,0.08,1.12,0.04,0.29,0.1,1.8,1.46,0.31,0.004,0.113,9.85,1.96,0.006,1.16,2.32,0.09,0.02,0.07,0
0.04,8.03,0.81,3.85,0.11,2.56,0.05,0.06,0.74,0.05,0.003,0.075,4.27,1.45,0.003,54.06,7.35,0.05,0.36,0.0,0
0.01,3.44,0.09,0.68,0.04,7.15,0.21,0.03,0.79,0.63,0.63,0.001,7.72,2.04,0.009,15.96,4.66,0.07,0.28,0.01,0
0.05,19.7,0.02,0.52,0.06,0.62,0.06,0.07,1.45,0.0,0.006,0.11,17.2,0.38,0.008,4.26,1.03,0.02,0.05,0.08,0
0.06,24.5,0.44,3.79,0.1,3.01,0.02,1.17,1.09,0.46,0.008,0.089,13.93,1.96,0.004,16.96,1.22,0.03,0.03,0.08,0
3.88,21.08,0.01,3.74,0.008,3.43,0.02,0.19,0.52,0.74,0.74,0.062,6.69,1.79,0.004,55.67,6.65,0.0,0.42,0.02,0
0.11,9.31,0.03,2.83,0.001,0.88,0.73,1.49,1.45,0.42,0.009,0.159,2.7,1.24,0.001,29.85,5.52,0.04,0.39,0.0,0
0.01,0.74,0.05,2.0,0.09,0.02,0.05,0.01,0.61,0.0,0.73,0.178,12.09,0.9,0.008,0.98,1.77,0.06,0.02,0.07,0
0.03,5.63,0.01,1.09,0.04,0.25,0.05,0.03,0.89,0.0,0.78,0.038,1.74,0.17,0.009,4.24,0.98,0.02,0.04,0.06,0
1.18,12.17,0.02,1.9,0.11,7.67,0.66,1.63,0.27,0.62,0.62,0.166,0.32,1.45,0.003,46.39,0.24,0.0,0.06,0.05,0
0.02,12.08,0.86,1.31,0.08,3.77,0.13,0.07,0.82,0.62,0.62,0.177,15.64,1.77,0.001,49.03,6.52,0.07,0.42,0.07,0
0.02,23.97,0.38,3.63,0.08,4.69,0.09,0.37,0.49,0.14,0.007,0.185,11.25,2.1,0.01,46.25,4.85,0.06,0.18,0.02,0
0.03,22.84,0.001,0.09,0.004,1.11,0.54,1.21,1.33,0.55,0.55,0.116,12.05,1.58,0.009,21.2,0.46,0.03,0.0,0.03,1
3.95,9.69,0.25,1.73,0.05,0.94,0.34,0.01,0.01,0.0,0.0,0.148,10.84,2.0,0.007,37.84,1.23,0.06,0.01,0.02,1
0.09,0.85,0.03,2.55,0.007,3.15,0.76,0.84,0.04,0.13,0.002,0.123,2.06,1.84,0.003,36.32,1.2,0.07,0.33,0.06,0
0.01,0.11,0.03,0.03,0.1,0.04,0.04,1.95,0.48,0.29,0.002,0.174,15.72,1.48,0.01,4.25,0.7,0.05,0.02,0.07,0
0.03,1.81,0.93,0.9,0.03,4.66,0.54,0.02,0.33,0.58,0.58,0.113,8.5,1.72,0.01,25.92,1.84,0.02,0.11,0.0,0
0.05,0.94,0.02,0.89,0.0,0.41,0.02,1.84,0.75,0.92,0.92,0.142,7.76,1.46,0.004,0.92,1.41,0.02,0.02,0.09,0
0.04,10.59,0.14,1.57,0.08,5.27,0.76,0.09,0.89,0.21,0.002,0.001,16.35,1.28,0.004,9.06,0.38,0.01,0.22,0.03,0
1.24,29.84,0.04,0.37,0.005,5.29,0.08,1.34,0.69,0.0,0.0,0.11,0.52,1.23,0.003,46.8,3.34,0.06,0.48,0.04,0
0.06,18.58,0.07,1.43,0.03,0.21,0.06,1.38,0.13,0.0,0.002,0.117,19.62,0.17,0.001,0.25,0.7,0.08,0.05,0.01,0
0.05,16.61,0.09,0.2,0.0,0.26,0.09,0.05,0.3,0.76,0.0,0.022,7.76,1.85,0.009,1.24,6.31,0.09,0.04,0.06,0
4.12,16.81,0.02,2.4,0.002,4.26,0.89,0.19,0.29,0.29,0.0,0.099,11.95,1.25,0.004,56.24,4.06,0.06,0.3,0.07,0
0.05,16.45,0.03,0.23,0.005,6.27,0.63,0.66,0.04,0.82,0.82,0.097,3.07,1.25,0.01,44.92,6.58,0.04,0.06,0.04,0
0.06,7.5,0.02,1.08,0.0,0.33,0.06,1.71,0.03,0.6,0.6,0.193,10.52,1.25,0.003,0.31,0.26,0.01,0.03,0.04,0
4.18,22.13,0.03,2.0,0.004,5.23,0.68,0.34,0.12,0.74,0.74,0.135,12.57,1.17,0.002,1.89,2.38,0.06,0.19,0.04,1
0.09,1.52,0.03,1.0,0.05,0.01,0.05,0.1,0.82,0.0,0.9,0.154,13.5,0.16,0.009,3.46,0.24,0.03,0.03,0.0,0
0.14,14.15,0.42,2.43,0.0,7.49,0.5,0.18,0.16,0.0,0.51,0.173,7.78,1.85,0.006,12.64,5.21,0.08,0.28,0.07,0
0.01,3.68,0.01,0.32,0.02,0.38,0.1,0.81,1.43,0.72,0.72,0.037,4.53,0.62,0.003,4.41,1.24,0.09,0.04,0.0,0
0.02,7.92,0.04,0.92,0.07,0.03,0.09,0.83,0.48,0.0,0.0,0.124,2.62,2.63,0.003,1.13,0.92,0.06,0.0,0.03,0
2.06,3.33,0.73,2.04,0.05,4.65,0.52,1.83,1.3,0.0,0.003,0.129,7.79,1.15,0.007,35.58,5.13,0.07,0.44,0.08,0
0.04,21.92,0.01,0.96,0.05,0.03,0.03,1.26,0.04,0.46,0.007,0.046,12.08,0.05,0.007,0.01,1.4,0.1,0.04,0.07,0
3.76,6.42,0.57,0.48,0.05,0.4,0.47,1.58,0.43,0.98,0.98,0.187,9.61,2.68,0.001,7.2,4.49,0.06,0.46,0.07,0
0.09,17.49,1.03,3.03,0.01,1.23,0.71,0.03,1.41,0.99,0.99,0.001,9.34,1.4,0.004,52.35,2.18,0.04,0.24,0.06,0
0.05,3.45,0.02,0.35,0.09,0.31,0.04,0.0,0.79,0.0,0.63,0.122,7.46,0.43,0.009,0.83,0.33,0.07,0.03,0.01,0
0.02,18.36,0.03,0.18,0.09,0.08,0.01,1.8,1.39,0.31,0.005,0.175,18.29,0.73,0.002,0.3,0.87,0.05,0.05,0.08,0
0.06,17.35,0.08,0.38,0.09,0.18,0.09,0.27,0.61,0.65,0.65,0.137,7.77,1.94,0.0,1.79,0.03,0.02,0.1,0.06,0
0.03,9.57,0.07,0.82,0.03,0.22,0.03,0.29,1.43,0.75,0.75,0.166,13.26,1.75,0.006,4.94,4.44,0.08,0.07,0.07,0
0.05,21.75,0.09,0.07,0.1,0.02,0.06,1.57,0.66,0.0,0.58,0.071,14.28,0.03,0.008,6.75,2.12,0.05,0.08,0.06,0
0.01,13.21,0.1,0.73,0.06,0.19,0.1,0.06,0.31,0.01,0.007,0.19,10.63,0.62,0.003,0.27,0.71,0.04,0.08,0.04,0
0.02,4.2,0.04,0.19,0.01,0.04,0.07,1.28,0.99,0.42,0.002,0.165,4.0,1.07,0.005,0.19,2.95,0.02,0.08,0.06,0
1.09,2.07,0.02,3.01,0.002,3.03,0.25,0.39,0.76,0.15,0.004,0.082,14.87,1.58,0.01,41.01,2.82,0.02,0.45,0.01,1
0.26,23.88,0.04,3.74,0.003,3.44,0.84,1.0,1.38,0.68,0.68,0.198,16.39,1.21,0.008,39.41,4.54,0.06,0.09,0.07,0
2.74,14.81,0.02,3.84,0.005,7.97,0.25,0.65,0.73,0.53,0.53,0.132,4.13,1.14,0.007,33.97,2.2,0.05,0.05,0.05,1
0.01,19.2,0.06,1.22,0.07,0.33,0.01,0.0,1.27,0.23,0.0,0.176,14.84,1.16,0.0,0.88,6.0,0.07,0.09,0.04,0
0.09,15.89,0.04,2.13,0.0,0.63,0.06,0.58,1.07,0.0,0.52,0.103,16.54,0.47,0.005,3.3,1.71,0.01,0.07,0.0,0
0.09,0.86,0.03,0.83,0.08,0.09,0.07,1.77,0.78,0.22,0.005,0.053,1.29,0.76,0.006,3.24,0.83,0.01,0.03,0.05,0
0.09,23.7,0.01,0.9,0.05,0.09,0.09,0.09,1.47,0.14,0.0,0.065,18.37,1.3,0.009,4.64,0.43,0.04,0.08,0.06,0
0.09,23.66,0.07,1.56,0.12,3.48,0.51,1.38,1.26,0.48,0.007,0.152,4.85,1.58,0.01,0.84,0.53,0.06,0.09,0.06,0
0.25,19.6,0.03,2.01,0.001,5.07,0.05,1.04,1.19,0.18,0.001,0.079,8.12,1.62,0.008,43.64,7.94,0.03,0.36,0.0,0
0.06,2.21,0.001,3.53,0.002,0.88,0.64,1.26,0.83,0.77,0.77,0.09,11.38,1.68,0.004,31.6,2.75,0.09,0.24,0.08,0
4.6,29.04,0.6,4.04,0.09,5.93,0.34,1.95,1.18,0.81,0.81,0.075,0.84,1.15,0.005,40.7,4.88,0.08,0.04,0.01,1
0.01,27.4,0.03,0.19,0.07,0.63,0.07,0.29,0.66,0.54,0.54,0.048,4.78,1.83,0.0,0.24,0.73,0.02,0.04,0.05,0
4.1,11.37,0.22,3.45,0.08,4.34,0.6,1.34,0.03,0.18,0.006,0.061,14.65,1.57,0.003,28.12,5.06,0.09,0.22,0.04,0
2.69,18.34,0.6,0.98,0.03,4.98,0.35,1.98,0.99,0.0,0.0,0.099,10.52,1.85,0.001,41.07,4.49,0.06,0.18,0.08,0
0.02,5.72,0.05,0.01,0.04,0.05,0.09,1.34,0.03,0.98,0.98,0.068,11.2,1.45,0.005,3.45,2.43,0.05,0.05,0.02,0
0.05,24.06,0.04,0.24,0.06,0.08,0.0,1.67,0.5,0.89,0.89,0.062,7.04,1.09,0.007,0.84,2.71,0.1,0.02,0.04,0
0.15,19.01,0.26,2.48,0.09,2.33,0.69,0.87,0.69,0.55,0.55,0.153,6.56,1.58,0.007,27.96,4.15,0.01,0.38,0.08,0
0.02,24.98,0.02,3.51,0.003,5.61,0.58,0.77,0.79,0.37,0.001,0.147,0.83,1.92,0.006,28.58,0.09,0.02,0.37,0.06,0
0.09,19.26,0.01,0.76,0.08,0.06,0.08,0.0,1.15,0.0,0.5,0.099,17.42,0.15,0.006,6.64,0.46,0.02,0.03,0.02,0
0.04,0.37,0.08,1.05,0.04,0.07,0.07,0.04,1.4,0.0,0.0,0.164,11.81,1.82,0.005,7.05,4.21,0.09,0.09,0.06,0
0.04,18.77,0.07,0.51,0.04,0.53,0.03,1.84,0.75,0.0,0.92,0.142,8.0,0.91,0.004,1.38,0.79,0.02,0.1,0.09,0
0.81,26.45,0.19,3.9,0.05,8.01,0.37,1.75,0.19,0.0,0.9,0.045,5.32,1.8,0.007,58.6,6.79,0.02,0.04,0.06,0
0.04,26.16,0.64,0.97,0.05,2.38,0.08,0.07,0.92,0.7,0.7,0.018,1.07,1.74,0.008,34.42,4.98,0.03,0.3,0.01,0
0.02,7.12,0.04,0.39,0.08,0.01,0.08,0.06,0.95,0.0,0.0,0.072,3.63,1.97,0.002,5.31,4.53,0.02,0.07,0.02,0
0.08,1.53,0.04,0.17,0.03,0.23,0.04,0.48,0.05,0.22,0.009,0.169,17.89,1.12,0.01,1.19,2.49,0.09,0.05,0.03,0
0.02,11.64,0.04,0.59,0.0,0.1,0.08,0.51,0.92,0.0,0.0,0.072,2.32,1.59,0.01,3.04,2.51,0.06,0.02,0.06,0
0.05,1.05,0.0,0.01,0.04,0.6,0.1,1.77,0.94,0.0,0.0,0.126,0.61,1.78,0.005,1.05,0.32,0.07,0.08,0.05,0
1.8,9.53,0.28,2.64,0.09,7.2,0.15,1.04,0.58,0.0,0.5,0.106,15.47,1.97,0.005,38.8,4.25,0.03,0.24,0.01,0
1.82,12.46,0.03,2.38,0.001,3.78,0.87,1.76,0.4,0.27,0.0,0.152,13.47,1.64,0.008,20.7,7.87,0.04,0.39,0.09,1
0.04,10.84,0.06,0.49,0.04,0.08,0.03,0.08,0.49,0.0,0.0,0.151,14.44,1.0,0.003,0.34,2.16,0.06,0.03,0.05,1
0.15,26.13,0.01,3.47,0.005,2.99,0.72,0.17,0.59,0.4,0.008,0.153,11.37,1.44,0.008,9.33,1.3,0.05,0.27,0.07,0
0.05,22.44,0.02,0.99,0.09,0.05,0.05,0.07,0.66,0.0,0.93,0.155,16.93,0.47,0.002,10.37,0.31,0.07,0.07,0.04,0
0.04,0.51,0.04,0.87,0.01,0.06,0.06,1.5,0.92,0.44,0.004,0.184,10.27,1.21,0.007,0.82,1.94,0.04,0.06,0.08,0
3.3,9.33,0.04,1.28,0.008,7.56,0.22,0.95,0.28,0.53,0.53,0.182,18.6,1.21,0.009,3.26,0.28,0.08,0.08,0.09,1
0.48,10.45,0.47,1.88,0.04,6.81,0.37,1.84,0.22,0.13,0.004,0.035,5.43,1.21,0.002,20.37,7.54,0.0,0.47,0.06,0
0.14,14.04,0.07,3.05,0.07,5.28,0.01,0.71,0.52,0.39,0.007,0.146,8.39,1.6,0.003,15.32,2.92,0.07,0.41,0.01,0
0.04,1.04,0.01,1.79,0.07,0.03,0.05,0.94,0.26,0.0,0.009,0.023,11.69,0.7,0.003,10.96,3.63,0.06,0.02,0.04,0
0.08,13.9,0.86,1.04,0.11,2.39,0.29,0.99,0.31,0.01,0.007,0.19,11.3,1.44,0.003,35.07,3.41,0.04,0.09,0.04,0
0.09,12.21,0.04,2.89,0.006,5.23,0.84,0.99,0.62,0.72,0.72,0.076,15.59,1.77,0.004,9.06,1.06,0.06,0.4,0.02,0
0.06,0.01,0.06,0.86,0.09,0.02,0.05,1.05,0.28,0.7,0.7,0.096,18.41,1.42,0.007,5.51,3.9,0.03,0.04,0.08,0
0.06,18.13,0.02,0.67,0.05,0.03,0.07,1.34,0.26,0.07,0.008,0.113,1.51,1.4,0.01,1.53,1.16,0.09,0.05,0.04,0
0.01,17.57,0.01,0.85,0.01,0.06,0.02,1.44,1.42,0.31,0.007,0.177,0.19,1.2,0.002,7.73,1.47,0.06,0.0,0.06,0
0.04,9.35,0.01,2.01,0.06,0.55,0.0,1.64,0.78,0.61,0.61,0.038,7.84,2.1,0.009,1.24,1.47,0.09,0.02,0.03,0
0.04,3.26,0.03,0.84,0.03,0.2,0.07,0.05,1.43,0.0,0.72,0.037,4.41,0.27,0.003,1.94,0.16,0.09,0.06,0.0,0
0.09,10.56,0.06,0.92,0.04,0.05,0.07,0.1,1.09,0.0,0.72,0.137,13.82,0.7,0.001,0.21,0.02,0.09,0.01,0.03,0
0.06,22.68,0.06,0.25,0.06,0.54,0.03,1.52,0.67,0.68,0.68,0.105,5.0,1.36,0.003,0.82,2.43,0.04,0.09,0.01,0
0.03,22.88,0.01,0.16,0.01,0.11,0.0,1.82,0.02,0.22,0.008,0.017,13.82,1.73,0.001,0.56,0.35,0.0,0.1,0.06,0
4.71,2.47,0.72,3.79,0.08,7.38,0.32,0.13,0.3,0.0,0.003,0.05,16.68,2.07,0.005,58.67,1.94,0.01,0.41,0.0,0
0.04,20.08,0.89,4.14,0.02,2.15,0.13,0.0,1.34,0.76,0.76,0.001,7.2,1.27,0.002,20.87,2.6,0.0,0.37,0.03,0
0.03,28.56,0.02,0.32,0.0,0.29,0.07,0.01,1.28,0.77,0.77,0.144,2.06,1.93,0.002,5.58,0.27,0.02,0.01,0.07,0
0.19,3.54,0.04,0.66,0.001,6.99,0.21,0.4,0.79,0.63,0.63,0.122,7.46,1.72,0.009,14.71,4.66,0.07,0.28,0.01,0
0.04,0.12,0.09,1.28,0.05,0.09,0.02,0.07,0.61,0.0,0.001,0.089,9.19,0.41,0.004,3.17,0.82,0.04,0.02,0.06,0
0.03,25.78,0.02,0.68,0.0,0.05,0.05,0.05,1.43,0.92,0.92,0.04,4.18,1.85,0.007,12.77,0.57,0.01,0.05,0.01,0
0.09,21.94,0.32,1.39,0.04,7.77,0.89,0.01,1.0,0.75,0.75,0.119,9.55,1.14,0.009,29.37,2.38,0.09,0.24,0.02,0
0.08,11.57,0.05,0.61,0.03,0.13,0.08,1.54,0.32,0.33,0.006,0.041,18.58,1.36,0.009,13.66,4.58,0.06,0.05,0.08,0
0.18,6.26,0.01,3.59,0.004,2.51,0.11,0.86,1.31,0.15,0.009,0.046,4.27,1.37,0.008,18.38,5.37,0.02,0.21,0.0,0
0.05,23.99,0.01,0.57,0.008,2.69,0.24,1.14,1.16,0.0,0.0,0.114,0.74,1.43,0.005,13.74,4.16,0.05,0.49,0.06,1
0.06,14.0,0.83,3.27,0.02,4.43,0.36,1.6,0.15,0.91,0.91,0.01,14.49,1.88,0.006,38.45,2.96,0.04,0.33,0.0,0
